Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Time Period,Total Distance
11/09/2017,Team A  v Team Q,home,Team A,Player 11,97,1-5TD,598.8
11/09/2017,Team A  v Team Q,home,Team A,Player 23,97,1-5TD,453.7
11/09/2017,Team A  v Team Q,home,Team A,Player 13,97,1-5TD,562.2
11/09/2017,Team A  v Team Q,home,Team A,Player 1,97,1-5TD,548.0
11/09/2017,Team A  v Team Q,home,Team A,Player 14,67,1-5TD,546.2
11/09/2017,Team A  v Team Q,home,Team A,Player 20,97,1-5TD,576.8
11/09/2017,Team A  v Team Q,home,Team A,Player 10,97,1-5TD,544.4
11/09/2017,Team A  v Team Q,home,Team A,Player 21,29,1-5TD,0.0
11/09/2017,Team A  v Team Q,home,Team A,Player 12,91,1-5TD,623.7
11/09/2017,Team A  v Team Q,home,Team A,Player 9,76,1-5TD,605.7
11/09/2017,Team A  v Team Q,home,Team A,Player 3,97,1-5TD,468.7
11/09/2017,Team A  v Team Q,home,Team A,Player 22,20,1-5TD,0.0
11/09/2017,Team A  v Team Q,home,Team A,Player 2,5,1-5TD,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 11,97,1-5TD,609.0
26/09/2017,Team A  v Team O,home,Team A,Player 23,97,1-5TD,581.1
26/09/2017,Team A  v Team O,home,Team A,Player 13,97,1-5TD,710.2
26/09/2017,Team A  v Team O,home,Team A,Player 5,7,1-5TD,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 1,89,1-5TD,669.4
26/09/2017,Team A  v Team O,home,Team A,Player 14,97,1-5TD,708.8
26/09/2017,Team A  v Team O,home,Team A,Player 20,63,1-5TD,657.5
26/09/2017,Team A  v Team O,home,Team A,Player 10,97,1-5TD,588.0
26/09/2017,Team A  v Team O,home,Team A,Player 4,97,1-5TD,626.9
26/09/2017,Team A  v Team O,home,Team A,Player 12,3,1-5TD,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 6,93,1-5TD,724.2
26/09/2017,Team A  v Team O,home,Team A,Player 24,33,1-5TD,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 3,97,1-5TD,524.1
16/10/2017,Team R v Team A,away,Team A,Player 11,95,1-5TD,538.2
16/10/2017,Team R v Team A,away,Team A,Player 17,70,1-5TD,537.1
16/10/2017,Team R v Team A,away,Team A,Player 23,95,1-5TD,600.7
16/10/2017,Team R v Team A,away,Team A,Player 13,95,1-5TD,601.4
16/10/2017,Team R v Team A,away,Team A,Player 1,85,1-5TD,606.8
16/10/2017,Team R v Team A,away,Team A,Player 14,95,1-5TD,612.3
16/10/2017,Team R v Team A,away,Team A,Player 20,95,1-5TD,644.5
16/10/2017,Team R v Team A,away,Team A,Player 10,23,1-5TD,0.0
16/10/2017,Team R v Team A,away,Team A,Player 4,5,1-5TD,0.0
16/10/2017,Team R v Team A,away,Team A,Player 21,8,1-5TD,0.0
16/10/2017,Team R v Team A,away,Team A,Player 12,88,1-5TD,673.7
16/10/2017,Team R v Team A,away,Team A,Player 9,95,1-5TD,581.1
16/10/2017,Team R v Team A,away,Team A,Player 3,95,1-5TD,511.8
24/10/2017,Team A  v Team E,home,Team A,Player 11,102,1-5TD,525.1
24/10/2017,Team A  v Team E,home,Team A,Player 17,102,1-5TD,494.3
24/10/2017,Team A  v Team E,home,Team A,Player 13,68,1-5TD,536.0
24/10/2017,Team A  v Team E,home,Team A,Player 1,15,1-5TD,0.0
24/10/2017,Team A  v Team E,home,Team A,Player 14,102,1-5TD,548.3
24/10/2017,Team A  v Team E,home,Team A,Player 20,102,1-5TD,592.6
24/10/2017,Team A  v Team E,home,Team A,Player 10,102,1-5TD,519.9
24/10/2017,Team A  v Team E,home,Team A,Player 4,50,1-5TD,505.2
24/10/2017,Team A  v Team E,home,Team A,Player 12,33,1-5TD,0.0
24/10/2017,Team A  v Team E,home,Team A,Player 6,102,1-5TD,499.3
24/10/2017,Team A  v Team E,home,Team A,Player 16,86,1-5TD,500.7
24/10/2017,Team A  v Team E,home,Team A,Player 3,102,1-5TD,526.8
24/10/2017,Team A  v Team E,home,Team A,Player 25,51,1-5TD,0.0
27/10/2017,Team J  v Team A,away,Team A,Player 17,96,1-5TD,632.0
27/10/2017,Team J  v Team A,away,Team A,Player 13,90,1-5TD,706.4
27/10/2017,Team J  v Team A,away,Team A,Player 1,96,1-5TD,658.5
27/10/2017,Team J  v Team A,away,Team A,Player 14,96,1-5TD,713.7
27/10/2017,Team J  v Team A,away,Team A,Player 20,20,1-5TD,0.0
27/10/2017,Team J  v Team A,away,Team A,Player 10,96,1-5TD,689.1
27/10/2017,Team J  v Team A,away,Team A,Player 4,5,1-5TD,0.0
27/10/2017,Team J  v Team A,away,Team A,Player 21,21,1-5TD,0.0
27/10/2017,Team J  v Team A,away,Team A,Player 12,74,1-5TD,783.8
27/10/2017,Team J  v Team A,away,Team A,Player 9,96,1-5TD,739.2
27/10/2017,Team J  v Team A,away,Team A,Player 6,96,1-5TD,690.8
27/10/2017,Team J  v Team A,away,Team A,Player 3,75,1-5TD,635.9
27/10/2017,Team J  v Team A,away,Team A,Player 25,96,1-5TD,781.0
04/11/2017,Team A  v Team U,home,Team A,Player 23,102,1-5TD,491.6
04/11/2017,Team A  v Team U,home,Team A,Player 13,66,1-5TD,613.4
04/11/2017,Team A  v Team U,home,Team A,Player 1,66,1-5TD,594.9
04/11/2017,Team A  v Team U,home,Team A,Player 14,102,1-5TD,599.3
04/11/2017,Team A  v Team U,home,Team A,Player 20,93,1-5TD,608.3
04/11/2017,Team A  v Team U,home,Team A,Player 10,102,1-5TD,534.7
04/11/2017,Team A  v Team U,home,Team A,Player 4,35,1-5TD,0.0
04/11/2017,Team A  v Team U,home,Team A,Player 7,35,1-5TD,0.0
04/11/2017,Team A  v Team U,home,Team A,Player 15,8,1-5TD,0.0
04/11/2017,Team A  v Team U,home,Team A,Player 9,102,1-5TD,542.7
04/11/2017,Team A  v Team U,home,Team A,Player 6,102,1-5TD,549.6
04/11/2017,Team A  v Team U,home,Team A,Player 3,102,1-5TD,515.3
04/11/2017,Team A  v Team U,home,Team A,Player 25,102,1-5TD,631.8
07/11/2017,Team A  v Team D,home,Team A,Player 11,27,1-5TD,0.0
07/11/2017,Team A  v Team D,home,Team A,Player 17,95,1-5TD,595.3
07/11/2017,Team A  v Team D,home,Team A,Player 13,95,1-5TD,648.3
07/11/2017,Team A  v Team D,home,Team A,Player 5,20,1-5TD,0.0
07/11/2017,Team A  v Team D,home,Team A,Player 14,95,1-5TD,622.1
07/11/2017,Team A  v Team D,home,Team A,Player 20,7,1-5TD,0.0
07/11/2017,Team A  v Team D,home,Team A,Player 10,95,1-5TD,591.4
07/11/2017,Team A  v Team D,home,Team A,Player 4,87,1-5TD,690.0
07/11/2017,Team A  v Team D,home,Team A,Player 7,74,1-5TD,678.7
07/11/2017,Team A  v Team D,home,Team A,Player 9,67,1-5TD,659.1
07/11/2017,Team A  v Team D,home,Team A,Player 6,95,1-5TD,784.0
07/11/2017,Team A  v Team D,home,Team A,Player 3,95,1-5TD,605.4
07/11/2017,Team A  v Team D,home,Team A,Player 25,95,1-5TD,682.7
21/11/2017,Team T v Team A,away,Team A,Player 17,96,1-5TD,613.4
21/11/2017,Team T v Team A,away,Team A,Player 23,96,1-5TD,635.0
21/11/2017,Team T v Team A,away,Team A,Player 5,49,1-5TD,0.0
21/11/2017,Team T v Team A,away,Team A,Player 1,46,1-5TD,579.4
21/11/2017,Team T v Team A,away,Team A,Player 14,96,1-5TD,633.6
21/11/2017,Team T v Team A,away,Team A,Player 20,96,1-5TD,662.4
21/11/2017,Team T v Team A,away,Team A,Player 10,96,1-5TD,598.2
21/11/2017,Team T v Team A,away,Team A,Player 7,46,1-5TD,609.1
21/11/2017,Team T v Team A,away,Team A,Player 12,49,1-5TD,0.0
21/11/2017,Team T v Team A,away,Team A,Player 9,96,1-5TD,652.1
21/11/2017,Team T v Team A,away,Team A,Player 6,96,1-5TD,565.9
21/11/2017,Team T v Team A,away,Team A,Player 25,96,1-5TD,548.3
25/11/2017,Team B v Team A,away,Team A,Player 11,82,1-5TD,590.5
25/11/2017,Team B v Team A,away,Team A,Player 17,11,1-5TD,0.0
25/11/2017,Team B v Team A,away,Team A,Player 5,27,1-5TD,0.0
25/11/2017,Team B v Team A,away,Team A,Player 1,88,1-5TD,701.7
25/11/2017,Team B v Team A,away,Team A,Player 20,94,1-5TD,636.5
25/11/2017,Team B v Team A,away,Team A,Player 10,94,1-5TD,503.0
25/11/2017,Team B v Team A,away,Team A,Player 4,94,1-5TD,620.6
25/11/2017,Team B v Team A,away,Team A,Player 7,66,1-5TD,565.3
25/11/2017,Team B v Team A,away,Team A,Player 12,94,1-5TD,665.1
25/11/2017,Team B v Team A,away,Team A,Player 9,94,1-5TD,577.1
25/11/2017,Team B v Team A,away,Team A,Player 6,94,1-5TD,591.4
25/11/2017,Team B v Team A,away,Team A,Player 16,5,1-5TD,0.0
25/11/2017,Team B v Team A,away,Team A,Player 3,94,1-5TD,529.6
28/11/2017,Team A  v Team V,home,Team A,Player 11,96,1-5TD,720.9
28/11/2017,Team A  v Team V,home,Team A,Player 23,22,1-5TD,0.0
28/11/2017,Team A  v Team V,home,Team A,Player 5,73,1-5TD,595.9
28/11/2017,Team A  v Team V,home,Team A,Player 1,65,1-5TD,0.0
28/11/2017,Team A  v Team V,home,Team A,Player 20,96,1-5TD,641.2
28/11/2017,Team A  v Team V,home,Team A,Player 10,90,1-5TD,530.6
28/11/2017,Team A  v Team V,home,Team A,Player 4,90,1-5TD,693.6
28/11/2017,Team A  v Team V,home,Team A,Player 7,30,1-5TD,600.3
28/11/2017,Team A  v Team V,home,Team A,Player 12,96,1-5TD,678.7
28/11/2017,Team A  v Team V,home,Team A,Player 9,73,1-5TD,567.2
28/11/2017,Team A  v Team V,home,Team A,Player 6,96,1-5TD,672.6
28/11/2017,Team A  v Team V,home,Team A,Player 16,22,1-5TD,0.0
28/11/2017,Team A  v Team V,home,Team A,Player 3,96,1-5TD,508.0
28/11/2017,Team A  v Team V,home,Team A,Player 19,5,1-5TD,0.0
28/11/2017,Team A  v Team V,home,Team A,Player 2,5,1-5TD,0.0
15/12/2017,Team A  v Team K,home,Team A,Player 11,86,1-5TD,677.4
15/12/2017,Team A  v Team K,home,Team A,Player 17,96,1-5TD,591.6
15/12/2017,Team A  v Team K,home,Team A,Player 13,96,1-5TD,642.8
15/12/2017,Team A  v Team K,home,Team A,Player 5,96,1-5TD,578.1
15/12/2017,Team A  v Team K,home,Team A,Player 14,96,1-5TD,678.5
15/12/2017,Team A  v Team K,home,Team A,Player 20,66,1-5TD,671.6
15/12/2017,Team A  v Team K,home,Team A,Player 4,73,1-5TD,742.8
15/12/2017,Team A  v Team K,home,Team A,Player 7,9,1-5TD,0.0
15/12/2017,Team A  v Team K,home,Team A,Player 9,96,1-5TD,603.9
15/12/2017,Team A  v Team K,home,Team A,Player 6,96,1-5TD,585.7
15/12/2017,Team A  v Team K,home,Team A,Player 16,22,1-5TD,0.0
15/12/2017,Team A  v Team K,home,Team A,Player 3,96,1-5TD,492.2
15/12/2017,Team A  v Team K,home,Team A,Player 25,29,1-5TD,0.0
19/12/2017,Team F v Team A,away,Team A,Player 11,79,1-5TD,675.3
19/12/2017,Team F v Team A,away,Team A,Player 17,29,1-5TD,587.3
19/12/2017,Team F v Team A,away,Team A,Player 23,79,1-5TD,595.5
19/12/2017,Team F v Team A,away,Team A,Player 13,96,1-5TD,639.5
19/12/2017,Team F v Team A,away,Team A,Player 8,16,1-5TD,0.0
19/12/2017,Team F v Team A,away,Team A,Player 14,96,1-5TD,629.3
19/12/2017,Team F v Team A,away,Team A,Player 4,96,1-5TD,684.6
19/12/2017,Team F v Team A,away,Team A,Player 7,96,1-5TD,608.2
19/12/2017,Team F v Team A,away,Team A,Player 6,96,1-5TD,699.7
19/12/2017,Team F v Team A,away,Team A,Player 16,26,1-5TD,0.0
19/12/2017,Team F v Team A,away,Team A,Player 3,96,1-5TD,552.7
19/12/2017,Team F v Team A,away,Team A,Player 25,69,1-5TD,693.5
19/12/2017,Team F v Team A,away,Team A,Player 19,66,1-5TD,0.0
19/12/2017,Team F v Team A,away,Team A,Player 22,16,1-5TD,0.0
26/12/2017,Team A  v Team W,home,Team A,Player 11,70,1-5TD,658.4
26/12/2017,Team A  v Team W,home,Team A,Player 23,97,1-5TD,672.5
26/12/2017,Team A  v Team W,home,Team A,Player 13,75,1-5TD,679.2
26/12/2017,Team A  v Team W,home,Team A,Player 5,97,1-5TD,589.8
26/12/2017,Team A  v Team W,home,Team A,Player 8,27,1-5TD,0.0
26/12/2017,Team A  v Team W,home,Team A,Player 14,97,1-5TD,742.6
26/12/2017,Team A  v Team W,home,Team A,Player 20,11,1-5TD,0.0
26/12/2017,Team A  v Team W,home,Team A,Player 7,75,1-5TD,653.1
26/12/2017,Team A  v Team W,home,Team A,Player 15,22,1-5TD,0.0
26/12/2017,Team A  v Team W,home,Team A,Player 9,86,1-5TD,692.9
26/12/2017,Team A  v Team W,home,Team A,Player 6,97,1-5TD,679.1
26/12/2017,Team A  v Team W,home,Team A,Player 16,22,1-5TD,0.0
26/12/2017,Team A  v Team W,home,Team A,Player 25,86,1-5TD,746.3
26/12/2017,Team A  v Team W,home,Team A,Player 19,97,1-5TD,675.1
26/12/2017,Team A  v Team W,home,Team A,Player 22,11,1-5TD,0.0
01/01/2018,Team H v Team A,away,Team A,Player 11,47,1-5TD,573.6
01/01/2018,Team H v Team A,away,Team A,Player 23,95,1-5TD,592.1
01/01/2018,Team H v Team A,away,Team A,Player 13,91,1-5TD,549.7
01/01/2018,Team H v Team A,away,Team A,Player 5,95,1-5TD,592.5
01/01/2018,Team H v Team A,away,Team A,Player 8,47,1-5TD,0.0
01/01/2018,Team H v Team A,away,Team A,Player 14,95,1-5TD,618.6
01/01/2018,Team H v Team A,away,Team A,Player 20,61,1-5TD,603.3
01/01/2018,Team H v Team A,away,Team A,Player 4,33,1-5TD,0.0
01/01/2018,Team H v Team A,away,Team A,Player 7,95,1-5TD,539.0
01/01/2018,Team H v Team A,away,Team A,Player 15,3,1-5TD,0.0
01/01/2018,Team H v Team A,away,Team A,Player 9,95,1-5TD,566.1
01/01/2018,Team H v Team A,away,Team A,Player 6,95,1-5TD,647.9
01/01/2018,Team H v Team A,away,Team A,Player 19,95,1-5TD,577.4
16/01/2018,Team A  v Team F,home,Team A,Player 17,96,1-5TD,608.8
16/01/2018,Team A  v Team F,home,Team A,Player 18,14,1-5TD,0.0
16/01/2018,Team A  v Team F,home,Team A,Player 13,82,1-5TD,698.2
16/01/2018,Team A  v Team F,home,Team A,Player 5,70,1-5TD,601.5
16/01/2018,Team A  v Team F,home,Team A,Player 1,96,1-5TD,657.1
16/01/2018,Team A  v Team F,home,Team A,Player 8,96,1-5TD,672.4
16/01/2018,Team A  v Team F,home,Team A,Player 14,81,1-5TD,702.7
16/01/2018,Team A  v Team F,home,Team A,Player 20,70,1-5TD,707.2
16/01/2018,Team A  v Team F,home,Team A,Player 4,13,1-5TD,0.0
16/01/2018,Team A  v Team F,home,Team A,Player 7,25,1-5TD,0.0
16/01/2018,Team A  v Team F,home,Team A,Player 15,25,1-5TD,0.0
16/01/2018,Team A  v Team F,home,Team A,Player 9,86,1-5TD,689.1
16/01/2018,Team A  v Team F,home,Team A,Player 6,96,1-5TD,746.1
16/01/2018,Team A  v Team F,home,Team A,Player 19,96,1-5TD,627.3
16/01/2018,Team A  v Team F,home,Team A,Player 22,9,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 11,22,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 17,97,1-5TD,618.2
22/01/2018,Team U v Team A,away,Team A,Player 23,5,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 18,35,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 13,91,1-5TD,703.0
22/01/2018,Team U v Team A,away,Team A,Player 5,97,1-5TD,574.9
22/01/2018,Team U v Team A,away,Team A,Player 1,91,1-5TD,647.0
22/01/2018,Team U v Team A,away,Team A,Player 8,97,1-5TD,647.4
22/01/2018,Team U v Team A,away,Team A,Player 20,97,1-5TD,636.2
22/01/2018,Team U v Team A,away,Team A,Player 10,22,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 7,5,1-5TD,0.0
22/01/2018,Team U v Team A,away,Team A,Player 15,61,1-5TD,771.6
22/01/2018,Team U v Team A,away,Team A,Player 9,74,1-5TD,647.0
22/01/2018,Team U v Team A,away,Team A,Player 6,97,1-5TD,606.9
22/01/2018,Team U v Team A,away,Team A,Player 19,74,1-5TD,646.0
26/01/2018,Team X v Team A,away,Team A,Player 17,96,1-5TD,652.1
26/01/2018,Team X v Team A,away,Team A,Player 18,29,1-5TD,0.0
26/01/2018,Team X v Team A,away,Team A,Player 13,65,1-5TD,698.0
26/01/2018,Team X v Team A,away,Team A,Player 5,96,1-5TD,576.1
26/01/2018,Team X v Team A,away,Team A,Player 1,30,1-5TD,0.0
26/01/2018,Team X v Team A,away,Team A,Player 8,96,1-5TD,680.4
26/01/2018,Team X v Team A,away,Team A,Player 20,96,1-5TD,735.0
26/01/2018,Team X v Team A,away,Team A,Player 7,66,1-5TD,621.6
26/01/2018,Team X v Team A,away,Team A,Player 15,96,1-5TD,775.8
26/01/2018,Team X v Team A,away,Team A,Player 9,96,1-5TD,679.0
26/01/2018,Team X v Team A,away,Team A,Player 6,96,1-5TD,700.4
26/01/2018,Team X v Team A,away,Team A,Player 19,96,1-5TD,673.6
01/02/2018,Team A  v Team T,home,Team A,Player 11,83,1-5TD,671.7
01/02/2018,Team A  v Team T,home,Team A,Player 17,97,1-5TD,635.0
01/02/2018,Team A  v Team T,home,Team A,Player 23,13,1-5TD,0.0
01/02/2018,Team A  v Team T,home,Team A,Player 18,12,1-5TD,0.0
01/02/2018,Team A  v Team T,home,Team A,Player 13,97,1-5TD,678.8
01/02/2018,Team A  v Team T,home,Team A,Player 5,97,1-5TD,542.2
01/02/2018,Team A  v Team T,home,Team A,Player 1,67,1-5TD,698.4
01/02/2018,Team A  v Team T,home,Team A,Player 14,29,1-5TD,0.0
01/02/2018,Team A  v Team T,home,Team A,Player 20,84,1-5TD,697.5
01/02/2018,Team A  v Team T,home,Team A,Player 7,29,1-5TD,0.0
01/02/2018,Team A  v Team T,home,Team A,Player 15,67,1-5TD,712.0
01/02/2018,Team A  v Team T,home,Team A,Player 6,97,1-5TD,595.9
01/02/2018,Team A  v Team T,home,Team A,Player 19,97,1-5TD,620.5
01/02/2018,Team A  v Team T,home,Team A,Player 22,97,1-5TD,687.1
06/02/2018,Team D v Team A,away,Team A,Player 11,85,1-5TD,723.0
06/02/2018,Team D v Team A,away,Team A,Player 17,96,1-5TD,672.0
06/02/2018,Team D v Team A,away,Team A,Player 13,96,1-5TD,736.4
06/02/2018,Team D v Team A,away,Team A,Player 5,96,1-5TD,520.9
06/02/2018,Team D v Team A,away,Team A,Player 1,28,1-5TD,0.0
06/02/2018,Team D v Team A,away,Team A,Player 8,96,1-5TD,759.4
06/02/2018,Team D v Team A,away,Team A,Player 14,96,1-5TD,662.0
06/02/2018,Team D v Team A,away,Team A,Player 20,73,1-5TD,754.3
06/02/2018,Team D v Team A,away,Team A,Player 7,67,1-5TD,624.7
06/02/2018,Team D v Team A,away,Team A,Player 15,22,1-5TD,0.0
06/02/2018,Team D v Team A,away,Team A,Player 6,96,1-5TD,667.5
06/02/2018,Team D v Team A,away,Team A,Player 16,10,1-5TD,0.0
06/02/2018,Team D v Team A,away,Team A,Player 19,96,1-5TD,762.8
13/02/2018,Team A  v Team B,home,Team A,Player 17,96,1-5TD,687.8
13/02/2018,Team A  v Team B,home,Team A,Player 23,16,1-5TD,0.0
13/02/2018,Team A  v Team B,home,Team A,Player 18,32,1-5TD,0.0
13/02/2018,Team A  v Team B,home,Team A,Player 13,63,1-5TD,802.2
