Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Ball In Play Time,Time In Possession,Time Opponent In Possession,Time In Uncontrolled Possession,Time In Established Possession,Total Distance,Total Low Intensity Distance,Total High Intensity Distance,Stand Distance,Walk Distance,Jog Distance,Run Distance,High Speed Run Distance,High Speed Distance - Player Average,Sprint Distance,Ball In Play Total Distance,In Possession Total Distance,Opponent In Possession Total Distance,Uncontrolled Possession Total Distance,Ball Out Of Play Total Distance,Total Distance (m/min),Total Distance In Possession (m/min),Total Distance Opponent In Possession (m/min),Total Distance Uncontrolled Possession (m/min),Ball In Play HI Distance,In Possession HI Distance,Opponent In Possession HI Distance,Uncontrolled Possession HI Distance,Ball Out Of Play HI Distance,HI Distance (m/min),HI Distance In Possession (m/min),HI Distance Opponent In Possession (m/min),HI Distance Uncontrolled Possession (m/min),Ball In Play Sprint Distance,In Possession Sprint Distance,Opponent In Possession Sprint Distance,Uncontrolled Possession Sprint Distance,Ball Out Of Play Sprint Distance,Sprint Distance (m/min),Sprint Distance In Possession (m/min),Sprint Distance Opponent In Possession (m/min),Sprint Distance Uncontrolled Possession (m/min),HI Events,Sprint Events,HS Run Events,Maximum Speed (km/h),Deceleration Very High Events,Deceleration High Events,Deceleration Medium Events,Deceleration Low Events,Acceleration Low Events,Acceleration Medium Events,Acceleration High Events,Acceleration Very High Events,1-5TD,6-10TD,11-15TD,16-20TD,21-25TD,26-30TD,31-35TD,36-40TD,41-45TD,45+TD,46-50TD,51-55TD,56-60TD,61-65TD,66-70TD,71-75TD,76-80TD,81-85TD,86-90TD,90+TD,1-5HID,6-10HID,11-15HID,16-20HID,21-25HID,26-30HID,31-35HID,36-40HID,41-45HID,45+HID,46-50HID,51-55HID,56-60HID,61-65HID,66-70HID,71-75HID,76-80HID,81-85HID,86-90HID,90+HID,1-5NHID,6-10NHID,11-5NHID,16-20NHID,21-25NHID,26-30NHID,31-35NHID,36-40NHID,41-45NHID,45+NHID,46-50NHID,51-55NHID,56-60NHID,61-65NHID,66-70NHID,71-75NHID,76-80NHID,81-85NHID,86-90NHID,90+NHID,11-15NHID
11/09/2017,Team A  v Team Q,home,Team A,Player 11,97,44.4,21.2,21.1,2.1,7.7,10274.7,9537.4,737.3,55.7,3852.9,3818.9,1809.8,639.4,550.3884615000001,97.9,6499.6,2863.4,3374.8,261.4,3775.1,105.9,135.1,159.9,124.5,705.3,292.0,410.6,2.7,32.0,7.6,13.8,19.5,1.3,88.3,47.4,40.9,0.0,9.7,1.0,2.2,1.9,,40,7,41,29.7,2,19,70,220,236,69,9,0,598.8,542.0,633.3,581.5,605.0,546.2,420.3,486.3,501.1,173.3,600.7,604.2,553.1,393.7,514.5,474.5,475.1,539.8,505.5,525.8,32.5,54.3,57.2,19.5,49.3,31.5,57.1,40.4,35.2,7.7,47.2,81.7,82.6,2.9,13.2,20.2,12.9,32.5,8.0,51.6,566.3,487.7,576.0999999999999,562.0,555.7,514.7,363.2,445.90000000000003,465.90000000000003,165.60000000000002,553.5,522.5,470.5,390.8,501.3,454.3,462.20000000000005,507.29999999999995,497.5,474.19999999999993,576.0999999999999
11/09/2017,Team A  v Team Q,home,Team A,Player 23,97,44.4,21.2,21.1,2.1,7.7,9847.5,9317.7,529.8,51.0,3890.7,3742.7,1633.3,420.0,295.7384615,109.8,6380.2,2789.5,3306.3,284.4,3467.3,101.5,131.6,156.7,135.4,497.7,100.3,392.2,5.2,32.1,5.5,4.7,18.6,2.5,109.8,9.3,100.5,0.0,0.0,1.1,0.4,4.8,,25,6,26,29.7,2,16,81,279,312,99,16,2,453.7,568.7,675.7,570.0,598.5,560.6,451.5,455.7,508.2,203.8,473.7,548.9,564.4,387.2,434.7,468.7,465.5,578.9,450.1,429.0,13.7,45.0,72.5,36.8,9.7,30.7,23.5,61.9,54.0,15.7,5.1,38.7,25.1,5.9,5.5,0.0,8.0,45.6,13.3,18.9,440.0,523.7,603.2,533.2,588.8,529.9,428.0,393.8,454.2,188.10000000000002,468.59999999999997,510.2,539.3,381.3,429.2,468.7,457.5,533.3,436.8,410.1,603.2
11/09/2017,Team A  v Team Q,home,Team A,Player 13,97,44.4,21.2,21.1,2.1,7.7,10587.6,9614.4,973.2,40.1,3771.9,3904.7,1897.7,744.1,752.5529412000001,229.1,7225.3,3196.8,3710.0,318.5,3362.3,109.2,150.8,175.8,151.7,945.4,421.0,515.8,8.6,27.8,10.0,19.9,24.4,4.1,224.9,115.8,109.1,0.0,4.2,2.4,5.5,5.2,,48,12,36,31.9,4,18,72,272,299,75,8,1,562.2,509.0,660.1,579.8,650.2,536.3,511.8,482.3,502.6,175.2,578.5,641.4,592.5,395.1,521.6,499.3,567.0,556.8,541.1,524.8,50.5,36.1,124.5,47.9,38.6,58.7,56.9,42.9,50.2,12.3,47.9,103.6,54.8,12.6,9.2,15.1,33.5,60.8,51.9,65.2,511.70000000000005,472.9,535.6,531.9,611.6,477.59999999999997,454.90000000000003,439.40000000000003,452.40000000000003,162.89999999999998,530.6,537.8,537.7,382.5,512.4,484.2,533.5,495.99999999999994,489.20000000000005,459.59999999999997,535.6
11/09/2017,Team A  v Team Q,home,Team A,Player 1,97,44.4,21.2,21.1,2.1,7.7,9799.4,8918.8,880.5,42.4,4219.4,3293.4,1363.6,639.7,641.3461538,240.8,6423.5,3355.7,2803.4,264.4,3375.9,101.0,158.3,132.9,125.9,861.8,624.8,217.5,19.5,18.7,9.1,29.5,10.3,9.3,240.8,198.0,42.8,0.0,0.0,2.5,9.3,2.0,,46,9,43,37.8,5,13,59,213,203,76,19,0,548.0,479.9,605.1,531.7,608.1,543.5,400.4,518.9,462.1,190.3,564.0,559.9,488.7,301.3,475.0,534.6,517.9,517.4,446.3,506.4,125.0,16.4,75.2,79.6,71.8,62.7,15.0,87.2,3.9,4.5,65.8,17.1,43.9,15.6,35.8,45.2,4.9,16.6,65.0,29.4,423.0,463.5,529.9,452.1,536.3000000000001,480.8,385.4,431.7,458.20000000000005,185.8,498.2,542.8,444.8,285.7,439.2,489.40000000000003,513.0,500.79999999999995,381.3,477.0,529.9
11/09/2017,Team A  v Team Q,home,Team A,Player 14,67,31.8,16.4,14.5,0.9,7.4,7460.8,6797.3,663.5,28.2,2807.5,2817.7,1143.9,501.2,564.0119047999999,162.3,4956.5,2629.0,2195.0,132.4,2504.4,111.4,160.3,151.4,147.1,641.6,458.6,183.0,0.0,22.0,9.9,28.0,12.6,,158.0,123.0,35.1,0.0,4.3,2.4,7.5,2.4,,29,7,29,32.1,0,15,57,153,197,49,6,2,546.2,633.9,691.5,543.7,666.0,554.7,476.4,502.2,516.4,202.8,563.1,654.0,542.9,366.9,0.0,0.0,0.0,0.0,0.0,0.0,75.0,52.3,39.6,16.0,83.2,23.1,43.1,55.8,33.1,22.6,42.2,88.6,54.1,34.8,0.0,0.0,0.0,0.0,0.0,0.0,471.20000000000005,581.6,651.9,527.7,582.8,531.6,433.29999999999995,446.4,483.29999999999995,180.20000000000002,520.9,565.4,488.79999999999995,332.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,651.9
11/09/2017,Team A  v Team Q,home,Team A,Player 20,97,44.4,21.2,21.1,2.1,7.7,10481.3,9901.4,579.9,30.5,4228.7,4101.0,1541.2,423.8,532.0769231,156.2,6747.0,2908.3,3541.4,297.3,3734.4,108.1,137.2,167.8,141.6,568.5,150.2,409.8,8.4,11.5,6.0,7.1,19.4,4.0,152.7,44.8,107.9,0.0,3.5,1.6,2.1,5.1,,34,7,25,30.3,2,12,71,258,295,59,12,1,576.8,596.4,664.6,577.8,665.2,561.2,484.9,440.1,532.8,217.8,503.8,598.5,555.8,341.5,534.6,510.2,532.5,576.6,497.2,513.0,79.2,70.9,42.4,6.2,76.0,15.6,8.3,51.7,15.9,22.2,0.0,41.6,50.3,4.9,3.3,30.4,3.6,38.6,12.2,6.6,497.59999999999997,525.5,622.2,571.5999999999999,589.2,545.6,476.59999999999997,388.40000000000003,516.9,195.60000000000002,503.8,556.9,505.49999999999994,336.6,531.3000000000001,479.8,528.9,538.0,485.0,506.4,622.2
11/09/2017,Team A  v Team Q,home,Team A,Player 10,97,44.4,21.2,21.1,2.1,7.7,9990.0,9402.4,587.6,39.1,4138.5,3716.7,1508.1,500.7,417.31199999999995,86.9,6260.2,2624.5,3360.9,274.9,3729.8,103.0,123.8,159.3,130.9,581.1,96.3,466.6,18.2,6.5,6.1,4.5,22.1,8.7,86.9,20.7,66.2,0.0,0.0,0.9,1.0,3.1,,30,5,29,32.4,0,19,77,233,293,82,18,2,544.4,529.7,641.2,570.5,605.1,557.6,435.7,445.5,537.9,178.0,543.6,541.4,586.6,391.6,529.9,483.4,508.6,450.1,453.9,455.1,19.6,21.7,51.2,28.9,30.2,34.0,18.8,46.0,59.2,16.6,32.8,8.1,48.4,35.5,21.8,33.3,24.1,32.1,10.1,15.3,524.8,508.00000000000006,590.0,541.6,574.9,523.6,416.9,399.5,478.7,161.4,510.8,533.3,538.2,356.1,508.09999999999997,450.09999999999997,484.5,418.0,443.79999999999995,439.8,590.0
11/09/2017,Team A  v Team Q,home,Team A,Player 21,29,12.5,4.8,6.5,1.2,0.3,3335.7,3107.4,228.3,6.0,1254.5,1306.4,540.5,205.4,408.6555556,23.0,1982.8,785.7,1014.6,182.5,1352.9,115.0,163.7,156.1,152.1,210.7,112.3,85.3,13.0,17.7,7.9,23.4,13.1,10.8,23.0,14.7,8.3,0.0,0.0,0.8,3.1,1.3,,14,1,15,29.8,1,10,26,74,81,36,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.3,582.8,488.0,581.8,588.6,604.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,46.0,43.8,15.7,25.4,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7,536.8,444.2,566.0999999999999,563.2,538.3000000000001,0.0
11/09/2017,Team A  v Team Q,home,Team A,Player 12,91,42.3,20.2,20.4,1.7,7.7,10896.1,9813.2,1083.0,33.2,3337.9,4223.8,2218.2,872.0,660.9357143,211.0,7414.9,3535.0,3579.6,300.3,3481.2,119.7,175.0,175.5,176.6,1053.2,568.8,467.4,17.0,29.8,11.9,28.2,22.9,10.0,205.0,114.4,90.6,0.0,5.9,2.3,5.7,4.4,,59,8,53,32.3,5,20,99,252,282,94,15,2,623.7,616.5,822.7,581.0,771.4,687.2,478.7,575.8,532.8,208.1,621.9,721.1,620.2,446.1,509.3,592.6,513.6,573.8,399.7,0.0,123.1,45.2,147.0,22.3,87.2,44.6,19.6,109.0,82.7,13.9,35.2,125.2,93.1,28.6,14.9,42.9,13.6,25.5,9.5,0.0,500.6,571.3,675.7,558.7,684.1999999999999,642.6,459.09999999999997,466.79999999999995,450.09999999999997,194.2,586.6999999999999,595.9,527.1,417.5,494.40000000000003,549.7,500.0,548.3,390.2,0.0,675.7
11/09/2017,Team A  v Team Q,home,Team A,Player 9,76,35.1,17.6,16.3,1.2,7.4,8150.4,7247.5,902.8,25.2,3186.3,2811.2,1224.8,583.7,651.3054053999999,319.1,5332.9,2624.7,2533.8,174.4,2817.5,107.2,149.1,155.4,145.3,891.6,501.0,377.5,13.1,11.2,11.9,28.5,23.2,10.9,319.1,219.6,98.3,1.2,0.0,4.2,12.5,6.0,1.0,42,17,31,32.3,2,21,58,188,181,61,19,4,605.7,600.3,583.5,532.3,584.1,601.7,478.1,467.1,491.8,220.7,654.8,627.4,523.3,372.4,447.3,360.0,0.0,0.0,0.0,0.0,91.9,78.8,128.0,8.5,67.1,13.2,45.4,81.0,32.3,14.6,109.2,102.6,49.7,28.3,28.0,24.2,0.0,0.0,0.0,0.0,513.8000000000001,521.5,455.5,523.8,517.0,588.5,432.70000000000005,386.1,459.5,206.1,545.5999999999999,524.8,473.59999999999997,344.09999999999997,419.3,335.8,0.0,0.0,0.0,0.0,455.5
